ID,Text,Comment
KeyBinding.ToggleSelectMode,Toggle select mode,
KeyBinding.GamepadMoveDown,Navigate Down,
KeyBinding.GamepadMoveLeft,Navigate Left,
KeyBinding.GamepadMoveRight,Navigate Right,
KeyBinding.GamepadMoveUp,Navigate Up,
KeyBindingGroup.GamePad,Game Pad,
KeyBinding.GamepadCameraRotateModifier,Hold to Rotate Camera,
ControllerSupport.NoGamepadDialog.Message,"No controller was detected. By default, Steam Input sets a controller to a keyboard and mouse layout, which this mod cannot use. Switch it to a gamepad layout for controller support to work.",
ControllerSupport.NoGamepadDialog.OpenLayoutButton,Open Recommended Controller Layout,
ControllerSupport.NoGamepadDialog.IgnoreButton,Ignore,
KeyBinding.DecreaseFloodgateHeight,Decrease entity slider,Label of the key that decreases the height of the selected floodgate. Floodgate should be the same as Building.Floodgate.DisplayName
KeyBinding.IncreaseFloodgateHeight,Increase entity slider,Label of the key that increases the height of the selected floodgate. Floodgate should be the same as Building.Floodgate.DisplayName
KeyBinding.CursorHeightUp,Cursor Height Up,
KeyBinding.CursorHeightDown,Cursor Height Down,
ControllerSupport.Settings.HapticsHeader,Controller Vibration,
ControllerSupport.Settings.EnableVibration,Enable controller vibration,
ControllerSupport.Settings.ShortcutHintsHeader,Shortcut Hints,
ControllerSupport.Settings.ShowInputHints,Show gamepad input hints,
ControllerSupport.Settings.HintStripPosition.Top,Top,
ControllerSupport.Settings.HintStripPosition.Bottom,Bottom,
ControllerSupport.Settings.HintStripPosition.None,None,
ControllerSupport.Hints.Move,Move,
ControllerSupport.Hints.Scroll,Scroll,
ControllerSupport.Hints.Select,Select,
ControllerSupport.Hints.Place,Place,
ControllerSupport.Hints.Mark,Mark,
ControllerSupport.Hints.Rotate,Rotate,
ControllerSupport.Hints.Zoom,Zoom,
ControllerSupport.Hints.Priority,Priority,
ControllerSupport.Hints.Adjust,Adjust,
ControllerSupport.Hints.Speed,Speed,
ControllerSupport.Hints.CursorHeight,Height,
