ID,Text,Comment
KeyBinding.ToggleSelectMode,Alternar modo de selección,
KeyBinding.GamepadMoveDown,Navegar hacia abajo,
KeyBinding.GamepadMoveLeft,Navegar hacia la izquierda,
KeyBinding.GamepadMoveRight,Navegar hacia la derecha,
KeyBinding.GamepadMoveUp,Navegar hacia arriba,
KeyBindingGroup.GamePad,Mando,
KeyBinding.GamepadCameraRotateModifier,Mantener para rotar la cámara,
ControllerSupport.NoGamepadDialog.Message,"No se detectó ningún mando. De forma predeterminada, Steam Input asigna al mando una configuración de teclado y ratón que este mod no puede utilizar. Cámbiala a una configuración de mando para que funcione la compatibilidad con mandos.",
ControllerSupport.NoGamepadDialog.OpenLayoutButton,Abrir configuración de mando recomendada,
ControllerSupport.NoGamepadDialog.IgnoreButton,Ignorar,
KeyBinding.IncreaseFloodgateHeight,Aumentar control deslizante,
KeyBinding.DecreaseFloodgateHeight,Reducir control deslizante,
KeyBinding.CursorHeightUp,Subir altura del cursor,
KeyBinding.CursorHeightDown,Bajar altura del cursor,
ControllerSupport.Settings.HapticsHeader,Vibración del mando,
ControllerSupport.Settings.EnableVibration,Activar la vibración del mando,
ControllerSupport.Settings.ShortcutHintsHeader,Indicaciones de atajos,
ControllerSupport.Settings.ShowInputHints,Mostrar indicaciones de entrada del mando,
ControllerSupport.Settings.HintStripPosition.Top,Arriba,
ControllerSupport.Settings.HintStripPosition.Bottom,Abajo,
ControllerSupport.Settings.HintStripPosition.None,Ninguna,
ControllerSupport.Hints.Move,Mover,
ControllerSupport.Hints.Scroll,Desplazar,
ControllerSupport.Hints.Select,Seleccionar,
ControllerSupport.Hints.Place,Colocar,
ControllerSupport.Hints.Mark,Marcar,
ControllerSupport.Hints.Rotate,Girar,
ControllerSupport.Hints.Zoom,Acercar,
ControllerSupport.Hints.Priority,Prioridad,
ControllerSupport.Hints.Adjust,Ajustar,
ControllerSupport.Hints.Speed,Velocidad,
ControllerSupport.Hints.CursorHeight,Altura,
ControllerSupport.Settings.CursorHeader,Cursor,
ControllerSupport.Settings.HideCursor,Ocultar cursor,
ControllerSupport.Settings.HideCursor.Always,Siempre,
ControllerSupport.Settings.HideCursor.Auto,Automático,
ControllerSupport.Settings.HideCursor.Never,Nunca,
