ID,Text,Comment
KeyBinding.ToggleSelectMode,Activer/désactiver le mode sélection,
KeyBinding.GamepadMoveDown,Naviguer vers le bas,
KeyBinding.GamepadMoveLeft,Naviguer vers la gauche,
KeyBinding.GamepadMoveRight,Naviguer vers la droite,
KeyBinding.GamepadMoveUp,Naviguer vers le haut,
KeyBindingGroup.GamePad,Manette,
KeyBinding.GamepadCameraRotateModifier,Maintenir pour faire pivoter la caméra,
KeyBinding.FocusOnSelection,Centrer sur la sélection,
ControllerSupport.NoGamepadDialog.Message,"Aucune manette n’a été détectée. Par défaut, Steam Input attribue à une manette une configuration clavier et souris que ce mod ne peut pas utiliser. Sélectionnez une configuration manette pour activer la prise en charge des manettes.",
ControllerSupport.NoGamepadDialog.OpenLayoutButton,Ouvrir la configuration de manette recommandée,
ControllerSupport.NoGamepadDialog.IgnoreButton,Ignorer,
KeyBinding.IncreaseFloodgateHeight,Augmenter le curseur,
KeyBinding.DecreaseFloodgateHeight,Réduire le curseur,
KeyBinding.CursorHeightUp,Augmenter la hauteur du curseur,
KeyBinding.CursorHeightDown,Diminuer la hauteur du curseur,
ControllerSupport.Settings.HapticsHeader,Vibration de la manette,
ControllerSupport.Settings.EnableVibration,Activer la vibration de la manette,
ControllerSupport.Settings.ShortcutHintsHeader,Indications des raccourcis,
ControllerSupport.Settings.ShowInputHints,Afficher les indications de commande de la manette,
ControllerSupport.Settings.HintStripPosition.Top,Haut,
ControllerSupport.Settings.HintStripPosition.Bottom,Bas,
ControllerSupport.Settings.HintStripPosition.None,Aucun,
ControllerSupport.Hints.Move,Déplacer,
ControllerSupport.Hints.Scroll,Faire défiler,
ControllerSupport.Hints.Select,Sélectionner,
ControllerSupport.Hints.Place,Placer,
ControllerSupport.Hints.Mark,Marquer,
ControllerSupport.Hints.Rotate,Rotation,
ControllerSupport.Hints.Zoom,Zoomer,
ControllerSupport.Hints.Priority,Priorité,
ControllerSupport.Hints.Adjust,Ajuster,
ControllerSupport.Hints.Speed,Vitesse,
ControllerSupport.Hints.CursorHeight,Hauteur,
ControllerSupport.Settings.CursorHeader,Curseur,
ControllerSupport.Settings.HideCursor,Masquer le curseur,
ControllerSupport.Settings.HideCursor.Always,Toujours,
ControllerSupport.Settings.HideCursor.Auto,Automatique,
ControllerSupport.Settings.HideCursor.Never,Jamais,
