ID,Text,Comment
KeyBinding.ToggleSelectMode,Attiva/disattiva modalità selezione,
KeyBinding.GamepadMoveDown,Naviga verso il basso,
KeyBinding.GamepadMoveLeft,Naviga verso sinistra,
KeyBinding.GamepadMoveRight,Naviga verso destra,
KeyBinding.GamepadMoveUp,Naviga verso l'alto,
KeyBindingGroup.GamePad,Controller,
KeyBinding.GamepadCameraRotateModifier,Tieni premuto per ruotare la telecamera,
KeyBinding.FocusOnSelection,Centra sulla selezione,
ControllerSupport.NoGamepadDialog.Message,"Nessun controller rilevato. Per impostazione predefinita, Steam Input assegna al controller una configurazione di tastiera e mouse che questa mod non può utilizzare. Passa a una configurazione gamepad per abilitare il supporto al controller.",
ControllerSupport.NoGamepadDialog.OpenLayoutButton,Apri configurazione controller consigliata,
ControllerSupport.NoGamepadDialog.IgnoreButton,Ignora,
KeyBinding.IncreaseFloodgateHeight,Aumenta cursore,
KeyBinding.DecreaseFloodgateHeight,Riduci cursore,
KeyBinding.CursorHeightUp,Aumenta altezza cursore,
KeyBinding.CursorHeightDown,Diminuisci altezza cursore,
ControllerSupport.Settings.HapticsHeader,Vibrazione del controller,
ControllerSupport.Settings.EnableVibration,Abilita la vibrazione del controller,
ControllerSupport.Settings.ShortcutHintsHeader,Suggerimenti sulle scorciatoie,
ControllerSupport.Settings.ShowInputHints,Mostra suggerimenti comandi del gamepad,
ControllerSupport.Settings.HintStripPosition.Top,In alto,
ControllerSupport.Settings.HintStripPosition.Bottom,In basso,
ControllerSupport.Settings.HintStripPosition.None,Nessuno,
ControllerSupport.Hints.Move,Sposta,
ControllerSupport.Hints.Scroll,Scorri,
ControllerSupport.Hints.Select,Seleziona,
ControllerSupport.Hints.Place,Posiziona,
ControllerSupport.Hints.Mark,Segna,
ControllerSupport.Hints.Rotate,Ruota,
ControllerSupport.Hints.Zoom,Zoom,
ControllerSupport.Hints.Priority,Priorità,
ControllerSupport.Hints.Adjust,Regola,
ControllerSupport.Hints.Speed,Velocità,
ControllerSupport.Hints.CursorHeight,Altezza,
ControllerSupport.Settings.CursorHeader,Cursore,
ControllerSupport.Settings.HideCursor,Nascondi cursore,
ControllerSupport.Settings.HideCursor.Always,Sempre,
ControllerSupport.Settings.HideCursor.Auto,Automatico,
ControllerSupport.Settings.HideCursor.Never,Mai,
