ID,Text,Comment
KeyBinding.ToggleSelectMode,Alternar modo de seleção,
KeyBinding.GamepadMoveDown,Navegar para baixo,
KeyBinding.GamepadMoveLeft,Navegar para a esquerda,
KeyBinding.GamepadMoveRight,Navegar para a direita,
KeyBinding.GamepadMoveUp,Navegar para cima,
KeyBindingGroup.GamePad,Controle,
KeyBinding.GamepadCameraRotateModifier,Segurar para girar a câmera,
KeyBinding.FocusOnSelection,Focar na seleção,
ControllerSupport.NoGamepadDialog.Message,"Nenhum controle foi detectado. Por padrão, o Steam Input configura o controle com um layout de teclado e mouse, que este mod não pode usar. Mude para um layout de gamepad para que o suporte a controles funcione.",
ControllerSupport.NoGamepadDialog.OpenLayoutButton,Abrir layout de controle recomendado,
ControllerSupport.NoGamepadDialog.IgnoreButton,Ignorar,
KeyBinding.IncreaseFloodgateHeight,Aumentar controle deslizante,
KeyBinding.DecreaseFloodgateHeight,Reduzir controle deslizante,
KeyBinding.CursorHeightUp,Aumentar altura do cursor,
KeyBinding.CursorHeightDown,Diminuir altura do cursor,
ControllerSupport.Settings.HapticsHeader,Vibração do controle,
ControllerSupport.Settings.EnableVibration,Ativar vibração do controle,
ControllerSupport.Settings.ShortcutHintsHeader,Dicas de atalhos,
ControllerSupport.Settings.ShowInputHints,Mostrar dicas de entrada do controle,
ControllerSupport.Settings.HintStripPosition.Top,Topo,
ControllerSupport.Settings.HintStripPosition.Bottom,Inferior,
ControllerSupport.Settings.HintStripPosition.None,Nenhum,
ControllerSupport.Hints.Move,Mover,
ControllerSupport.Hints.Scroll,Rolar,
ControllerSupport.Hints.Select,Selecionar,
ControllerSupport.Hints.Place,Colocar,
ControllerSupport.Hints.Mark,Marcar,
ControllerSupport.Hints.Rotate,Girar,
ControllerSupport.Hints.Zoom,Zoom,
ControllerSupport.Hints.Priority,Prioridade,
ControllerSupport.Hints.Adjust,Ajustar,
ControllerSupport.Hints.Speed,Velocidade,
ControllerSupport.Hints.CursorHeight,Altura,
ControllerSupport.Settings.CursorHeader,Cursor,
ControllerSupport.Settings.HideCursor,Ocultar cursor,
ControllerSupport.Settings.HideCursor.Always,Sempre,
ControllerSupport.Settings.HideCursor.Auto,Automático,
ControllerSupport.Settings.HideCursor.Never,Nunca,
