ID,Text,Comment
KeyBinding.ToggleSelectMode,Переключить режим выбора,
KeyBinding.GamepadMoveDown,Перемещение вниз,
KeyBinding.GamepadMoveLeft,Перемещение влево,
KeyBinding.GamepadMoveRight,Перемещение вправо,
KeyBinding.GamepadMoveUp,Перемещение вверх,
KeyBindingGroup.GamePad,Геймпад,
KeyBinding.GamepadCameraRotateModifier,Удерживать для поворота камеры,
ControllerSupport.NoGamepadDialog.Message,"Контроллер не обнаружен. По умолчанию Steam Input настраивает контроллер на раскладку клавиатуры и мыши, которую этот мод не может использовать. Переключите его на раскладку геймпада, чтобы поддержка контроллера заработала.",
ControllerSupport.NoGamepadDialog.OpenLayoutButton,Открыть рекомендуемую раскладку контроллера,
ControllerSupport.NoGamepadDialog.IgnoreButton,Игнорировать,
KeyBinding.IncreaseFloodgateHeight,Увеличить ползунок,
KeyBinding.DecreaseFloodgateHeight,Уменьшить ползунок,
KeyBinding.CursorHeightUp,Поднять высоту курсора,
KeyBinding.CursorHeightDown,Опустить высоту курсора,
ControllerSupport.Settings.HapticsHeader,Вибрация контроллера,
ControllerSupport.Settings.EnableVibration,Включить вибрацию контроллера,
ControllerSupport.Settings.ShortcutHintsHeader,Подсказки по сочетаниям клавиш,
