ID,Text,Comment
KeyBinding.ToggleSelectMode,Toggle select mode,
KeyBinding.GamepadMoveDown,Navigate Down,
KeyBinding.GamepadMoveLeft,Navigate Left,
KeyBinding.GamepadMoveRight,Navigate Right,
KeyBinding.GamepadMoveUp,Navigate Up,
KeyBindingGroup.GamePad,Game Pad,
KeyBinding.GamepadCameraRotateModifier,Hold to Rotate Camera,
ControllerSupport.NoGamepadDialog.Message,"No controller was detected. By default, Steam Input sets a controller to a keyboard and mouse layout, which this mod cannot use. Switch it to a gamepad layout for controller support to work.",
ControllerSupport.NoGamepadDialog.OpenLayoutButton,Open Recommended Controller Layout,
ControllerSupport.NoGamepadDialog.IgnoreButton,Ignore,
KeyBinding.DecreaseFloodgateHeight,Decrease entity slider,Label of the key that decreases the height of the selected floodgate. Floodgate should be the same as Building.Floodgate.DisplayName
KeyBinding.IncreaseFloodgateHeight,Increase entity slider,Label of the key that increases the height of the selected floodgate. Floodgate should be the same as Building.Floodgate.DisplayName
KeyBinding.CursorHeightUp,Cursor Height Up,
KeyBinding.CursorHeightDown,Cursor Height Down,
ControllerSupport.Settings.HapticsHeader,Controller Vibration,
ControllerSupport.Settings.EnableVibration,Enable controller vibration,
