ID,Text,Comment
KeyBinding.ToggleSelectMode,Alternar modo de selección,
KeyBinding.GamepadMoveDown,Navegar hacia abajo,
KeyBinding.GamepadMoveLeft,Navegar hacia la izquierda,
KeyBinding.GamepadMoveRight,Navegar hacia la derecha,
KeyBinding.GamepadMoveUp,Navegar hacia arriba,
KeyBindingGroup.GamePad,Mando,
KeyBinding.GamepadCameraRotateModifier,Mantener para rotar la cámara,
ControllerSupport.NoGamepadDialog.Message,"No se detectó ningún mando. De forma predeterminada, Steam Input asigna al mando una configuración de teclado y ratón que este mod no puede utilizar. Cámbiala a una configuración de mando para que funcione la compatibilidad con mandos.",
ControllerSupport.NoGamepadDialog.OpenLayoutButton,Abrir configuración de mando recomendada,
ControllerSupport.NoGamepadDialog.IgnoreButton,Ignorar,
