ID,Text,Comment
KeyBinding.ToggleSelectMode,Activer/désactiver le mode sélection,
KeyBinding.GamepadMoveDown,Naviguer vers le bas,
KeyBinding.GamepadMoveLeft,Naviguer vers la gauche,
KeyBinding.GamepadMoveRight,Naviguer vers la droite,
KeyBinding.GamepadMoveUp,Naviguer vers le haut,
KeyBindingGroup.GamePad,Manette,
KeyBinding.GamepadCameraRotateModifier,Maintenir pour faire pivoter la caméra,
ControllerSupport.NoGamepadDialog.Message,"Aucune manette n’a été détectée. Par défaut, Steam Input attribue à une manette une configuration clavier et souris que ce mod ne peut pas utiliser. Sélectionnez une configuration manette pour activer la prise en charge des manettes.",
ControllerSupport.NoGamepadDialog.OpenLayoutButton,Ouvrir la configuration de manette recommandée,
ControllerSupport.NoGamepadDialog.IgnoreButton,Ignorer,
